{  0,  0,  0}	{255,  0,  0}	{  0,110,  0}	{ 92, 51, 23}	{  0,  0,200}	{139, 58, 98}	{  0,150,180}	{150,150,150}	{ 99, 99, 99}	{255,150,150}	{  0,255,  0}	{255,255,  0}	{100,100,255}	{254,  0,254}	{  0,240,255}	{255,255,255}	
{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	
{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	
{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	
{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	
{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	
{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	
{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	
{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	
{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	
{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	
{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	{  0,  0,  0}	
