{  0,  0,  0}	{240, 16, 16}	{ 16,240, 16}	{240,232, 16}	{ 32, 32,216}	{240, 16,240}	{ 48,192,192}	{255,255,255}	{192,192,192}	{ 40,168,168}	{192, 32,192}	{ 64, 16,136}	{240,240,112}	{ 32,200, 64}	{168, 32, 32}	{ 48, 48, 48}
{  0,  0,  0}	{240, 16, 16}	{ 16,240, 16}	{240,232, 16}	{ 32, 32,216}	{240, 16,240}	{ 48,192,192}	{255,255,255}	{192,192,192}	{ 40,168,168}	{192, 32,192}	{ 64, 16,136}	{240,240,112}	{ 32,200, 64}	{168, 32, 32}	{ 48, 48, 48}
{  0,  0,  0}	{240, 16, 16}	{ 16,240, 16}	{240,232, 16}	{ 32, 32,216}	{240, 16,240}	{ 48,192,192}	{255,255,255}	{192,192,192}	{ 40,168,168}	{192, 32,192}	{ 64, 16,136}	{240,240,112}	{ 32,200, 64}	{168, 32, 32}	{ 48, 48, 48}
{  0,  0,  0}	{240, 16, 16}	{ 16,240, 16}	{240,232, 16}	{ 32, 32,216}	{240, 16,240}	{ 48,192,192}	{255,255,255}	{192,192,192}	{ 40,168,168}	{192, 32,192}	{ 64, 16,136}	{240,240,112}	{ 32,200, 64}	{168, 32, 32}	{ 48, 48, 48}
{  0,  0,  0}	{240, 16, 16}	{ 16,240, 16}	{240,232, 16}	{ 32, 32,216}	{240, 16,240}	{ 48,192,192}	{255,255,255}	{192,192,192}	{ 40,168,168}	{192, 32,192}	{ 64, 16,136}	{240,240,112}	{ 32,200, 64}	{168, 32, 32}	{ 48, 48, 48}
{  0,  0,  0}	{240, 16, 16}	{ 16,240, 16}	{240,232, 16}	{ 32, 32,216}	{240, 16,240}	{ 48,192,192}	{255,255,255}	{192,192,192}	{ 40,168,168}	{192, 32,192}	{ 64, 16,136}	{240,240,112}	{ 32,200, 64}	{168, 32, 32}	{ 48, 48, 48}
{  0,  0,  0}	{240, 16, 16}	{ 16,240, 16}	{240,232, 16}	{ 32, 32,216}	{240, 16,240}	{ 48,192,192}	{255,255,255}	{192,192,192}	{ 40,168,168}	{192, 32,192}	{ 64, 16,136}	{240,240,112}	{ 32,200, 64}	{168, 32, 32}	{ 48, 48, 48}
{  0,  0,  0}	{240, 16, 16}	{ 16,240, 16}	{240,232, 16}	{ 32, 32,216}	{240, 16,240}	{ 48,192,192}	{255,255,255}	{192,192,192}	{ 40,168,168}	{192, 32,192}	{ 64, 16,136}	{240,240,112}	{ 32,200, 64}	{168, 32, 32}	{ 48, 48, 48}
{  0,  0,  0}	{240, 16, 16}	{ 16,240, 16}	{240,232, 16}	{ 32, 32,216}	{240, 16,240}	{ 48,192,192}	{255,255,255}	{192,192,192}	{ 40,168,168}	{192, 32,192}	{ 64, 16,136}	{240,240,112}	{ 32,200, 64}	{168, 32, 32}	{ 48, 48, 48}
{  0,  0,  0}	{240, 16, 16}	{ 16,240, 16}	{240,232, 16}	{ 32, 32,216}	{240, 16,240}	{ 48,192,192}	{255,255,255}	{192,192,192}	{ 40,168,168}	{192, 32,192}	{ 64, 16,136}	{240,240,112}	{ 32,200, 64}	{168, 32, 32}	{ 48, 48, 48}
{  0,  0,  0}	{240, 16, 16}	{ 16,240, 16}	{240,232, 16}	{ 32, 32,216}	{240, 16,240}	{ 48,192,192}	{255,255,255}	{192,192,192}	{ 40,168,168}	{192, 32,192}	{ 64, 16,136}	{240,240,112}	{ 32,200, 64}	{168, 32, 32}	{ 48, 48, 48}
{  0,  0,  0}	{240, 16, 16}	{ 16,240, 16}	{240,232, 16}	{ 32, 32,216}	{240, 16,240}	{ 48,192,192}	{255,255,255}	{192,192,192}	{ 40,168,168}	{192, 32,192}	{ 64, 16,136}	{240,240,112}	{ 32,200, 64}	{168, 32, 32}	{ 48, 48, 48}
